0,1,2,3,4,5,6,7,8,9,10,11,12
202,229,229,218,224,224,210,211,214,212,233,207,221
206,228,225,213,231,223,223,220,196,200,205,216,214
230,230,214,232,223,224,233,230,226,190,202,202,205
215,241,221,210,214,226,230,216,219,221,206,204,198
217,221,234,233,227,240,217,230,213,217,201,199,201
233,221,221,221,226,233,220,228,209,209,209,199,213
240,224,220,229,220,215,231,232,214,210,210,201,195
228,241,228,220,231,229,215,203,208,209,198,207,190
232,224,223,232,227,220,225,225,219,221,208,206,198
221,234,229,226,227,223,232,227,197,207,227,207,203
224,226,232,236,237,248,222,234,191,204,205,212,195
218,236,225,226,215,205,234,204,205,195,199,200,208
229,228,217,223,223,232,231,200,206,229,202,208,194
229,225,231,225,235,210,226,205,228,209,202,211,201
223,219,219,227,223,224,239,208,219,216,202,214,191
238,228,235,224,217,221,213,238,211,198,202,200,208
227,225,230,227,231,223,231,208,220,202,194,194,192
227,220,221,230,234,234,246,215,215,191,206,197,192
220,225,236,216,228,235,237,214,198,191,197,196,215
231,226,229,220,212,229,222,212,204,204,,196,192
